,meanFitSL,meanFitIL,meanILprop,PayWorld,PayUsed,PayEff,SimpsonIndex,GiniIndex,nInd,nPat,stratProp,payoffDis,comp,k,theta,payoffChangeRate,variance,seed,compStrength,mode,calcTime
74,4.955718475,5.329653613,0.9069826615,830,183.6525723,0.2212681594,0.3591978654,0.786283466,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2748,1,,35_mins
75,5.021658071,5.33653569,0.7116062666,830,181.9550713,0.2192229775,0.3575075316,0.7902406596,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2758,1,,35_mins
76,4.604838069,5.244625693,0.496189403,830,166.8456531,0.2010188591,0.336022106,0.8132704157,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2762,1,,35_mins
77,5.215668659,5.392636067,0.9583560515,830,186.4471711,0.2246351459,0.3627379147,0.7824554558,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2774,1,,35_mins
78,5.068617743,5.329242563,0.8815625265,830,183.6614221,0.2212788218,0.3592301693,0.7863449718,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2787,1,,35_mins
79,4.85116866,5.353336078,0.8717119213,830,183.8013595,0.221447421,0.3595536043,0.7868824334,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2795,1,,35_mins
80,5.059165114,5.309554944,0.7890540753,830,182.6022124,0.2200026656,0.3580312825,0.7885102689,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2802,1,,35_mins
81,5.124740772,5.360911897,0.7882786279,830,184.2253199,0.2219582167,0.3601039584,0.7865725533,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2816,1,,35_mins
82,5.025084831,5.325686665,0.8561181588,830,183.5314408,0.2211222178,0.3591637404,0.7870505001,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2826,1,,35_mins
83,4.885756243,5.296849199,0.603273842,830,178.6823071,0.215279888,0.3536212446,0.7956508987,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2835,1,,35_mins
84,5.150710672,5.34263387,0.9642324888,830,184.9443656,0.2228245369,0.3605605679,0.7838183394,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2842,1,,35_mins
85,5.075422852,5.351594516,0.8196115493,830,184.0275823,0.2217199787,0.3599226448,0.7863621406,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2857,1,,35_mins
86,5.078509885,5.373148085,0.8964777725,830,184.7944722,0.2226439424,0.360648216,0.7848080158,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2862,1,,35_mins
87,5.018759156,5.330695373,0.5266014806,830,179.1143429,0.2158004132,0.3543808615,0.7951437416,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2874,1,,35_mins
88,5.119443522,5.316579376,0.9547332582,830,184.4642643,0.2222461016,0.360147347,0.7851643802,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2887,1,,35_mins
89,5.067669104,5.341393258,0.7448778065,830,182.8312009,0.2202785552,0.3584026192,0.7884885645,33,100,0.2,normal,TRUE,0.1833333333,21.81818182,1.00E-04,87.27272727,2897,1,,35_mins
